Team Name,Short Name,Full Name,Logo,Conference,League,City,State
TBD,TBD,TBD,,,PLL,,
Veterans,Veterans,Veterans,https://img.premierlacrosseleague.com/Teams/2023/Logo/2023_ASG_veterans.webp,,PLL,,
Rising Stars,Rising Stars,Rising Stars,https://img.premierlacrosseleague.com/Teams/2023/Logo/2023_ASG_rising_stars.webp,,PLL,,
Brampton Excelsiors,Excelsiors,Brampton Excelsiors,https://digitalshift-assets.sfo2.cdn.digitaloceanspaces.com/pw/23d8705b-6171-4586-88bc-ecfb2c6ea0b3/p-ac0dead5-bda2-4d52-a25d-f353b038e533/1687914067-full.png,,MSL,Brampton,ON
Brooklin L.C.,Brooklin,Brooklin Lacrosse Club,https://digitalshift-assets.sfo2.cdn.digitaloceanspaces.com/pw/23d8705b-6171-4586-88bc-ecfb2c6ea0b3/p-b300741f-e686-4311-8b08-b4f5a88e69d3/1560368807-full.png,,MSL,Whitby,ON
Cobourg Kodiaks,Kodiaks,Cobourg Kodiaks,https://digitalshift-assets.sfo2.cdn.digitaloceanspaces.com/pw/23d8705b-6171-4586-88bc-ecfb2c6ea0b3/p-b92dcd6f-fc83-4174-8166-910a4744603c/1687914254-full.png,,MSL,Cobourg,ON
Peterborough Lakers,Lakers,Peterborough Lakers,https://imagedelivery.net/ErrQpIaCOWR-Tz51PhN1zA/ab158338-5520-471b-f241-7f5e6577cb00/256,,MSL,Peterborough,ON
Six Nations Chiefs,Chiefs,Six Nations Chiefs,https://digitalshift-assets.sfo2.cdn.digitaloceanspaces.com/pw/23d8705b-6171-4586-88bc-ecfb2c6ea0b3/p-fc3987cb-a6d2-4a29-b81c-55ccd91e4d3f/1687914454-full.png,,MSL,Hagersville,ON
Adanacs,Adanacs,Coquitlam Adanacs,https://img.shiftstats.com/edd729ed-a89a-429a-b835-2b80c4f69537/team-logo_url-167275-adanacs-1644789516181785007-large.svg,,WLA,Coquitlam,BC
Burrards,Burrards,Maple Ridge Burrards,https://img.shiftstats.com/edd729ed-a89a-429a-b835-2b80c4f69537/team-logo_url-167270-burrards-1644789531007611989-large.svg,,WLA,Maple Ridge,BC
Lakers,Lakers,Burnaby Lakers,https://img.shiftstats.com/edd729ed-a89a-429a-b835-2b80c4f69537/team-logo_url-167271-lakers-1644789544135121127-large.png,,WLA,Burnaby,BC
Salmonbellies,Salmonbellies,New Westminster Salmonbellies,https://img.shiftstats.com/edd729ed-a89a-429a-b835-2b80c4f69537/team-logo_url-167272-salmonbellies-1644789555152027330-large.svg,,WLA,New Westminster,BC
Shamrocks,Shamrocks,Victoria Shamrocks,https://img.shiftstats.com/edd729ed-a89a-429a-b835-2b80c4f69537/team-logo_url-167273-shamrocks-1644789565894816927-large.svg,,WLA,Victoria,BC
Thunder,Thunder,Langley Thunder,https://img.shiftstats.com/edd729ed-a89a-429a-b835-2b80c4f69537/team-logo_url-167284-thunder-1644790013765237512-large.svg,,WLA,Langley,BC
Timbermen,Timbermen,Nanaimo Timbermen,https://img.shiftstats.com/edd729ed-a89a-429a-b835-2b80c4f69537/team-logo_url-167274-timbermen-1644789587597313173-large.svg,,WLA,Nanaimo,BC
UNITED-STATES,United States,United States Men's National Team,https://cdn.prestosports.com/action/cdn/logos/id/vvf4zs1rtj2vih8e.png?max_width=32,Pool A,World Lacrosse,,
CANADA,Canada,Canada Men's National Team,https://cdn.prestosports.com/action/cdn/logos/id/q9kj7epm2o7rdde8.png?max_width=32,Pool A,World Lacrosse,,
HAUDENOSAUNEE,Haudenosaunee,Haudenosaunee Men's National Team,https://cdn.prestosports.com/action/cdn/logos/id/lrjr094kbpvqmchu.png?max_width=32,Pool A,World Lacrosse,,
AUSTRALIA,Australia,Australia Men's National Team,https://cdn.prestosports.com/action/cdn/logos/id/gjv4y4beo6ek30ox.png?max_width=32,Pool A,World Lacrosse,,
ENGLAND,England,England Men's National Team,https://cdn.prestosports.com/action/cdn/logos/id/w5uvs1278mk4z4xa.png?max_width=32,Pool A,World Lacrosse,,
JAPAN,Japan,Japan Men's National Team,https://cdn.prestosports.com/action/cdn/logos/id/ssiyknarr8yi0yl5.png?max_width=32,Pool B,World Lacrosse,,
ISRAEL,Israel,Israel Men's National Team,https://cdn.prestosports.com/action/cdn/logos/id/z9ayn6454vdjyyh3.png?max_width=32,Pool C,World Lacrosse,,
PUERTO-RICO,Puerto Rico,Puerto Rico Men's National Team,https://api.fifa.com/api/v3/picture/flags-sq-2/pur,Pool C,World Lacrosse,,
